,0,1,2,3,4,5,Norm0,Norm1,Norm2,Norm3,Norm4,Norm5
HEX1,1.0,0.0,0.5,0.0,0.0,0.14285714285714285,12.500000000000002,0.0,1.0,0.0,0.0,1.0
PGI,0.0,0.0,0.5,0.0,0.0,0.14285714285714285,0.0,0.0,1.0,0.0,0.0,1.0
FBP,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.500000000000002,0.0,0.0
PFK,0.0,0.0,0.5,1.0,0.0,0.14285714285714285,0.0,0.0,1.0,12.500000000000002,0.0,1.0
FBA,0.0,0.0,0.5,0.0,0.0,0.14285714285714285,0.0,0.0,1.0,0.0,0.0,1.0
TPI,0.0,0.0,0.5,0.0,0.0,0.14285714285714285,0.0,0.0,1.0,0.0,0.0,1.0
GAPD,0.0,0.0,1.0,0.0,0.0,0.2857142857142857,0.0,0.0,2.0,0.0,0.0,2.0
PGK,0.0,0.0,-1.0,0.0,0.0,-0.2857142857142857,0.0,0.0,-2.0,0.0,0.0,-2.0
PGM,0.0,0.0,-1.0,0.0,0.0,-0.2857142857142857,0.0,0.0,-2.0,0.0,0.0,-2.0
ENO,0.0,0.0,1.0,0.0,0.0,0.2857142857142857,0.0,0.0,2.0,0.0,0.0,2.0
PEPCKm,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
PYK,0.0,0.5,1.0,0.0,0.0,0.2857142857142857,0.0,1.0,2.0,0.0,0.0,2.0
PCm,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
LDH_L,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0
PYRt2m,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ADK1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATPM,0.0,0.5,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,12.500000000000002,7.0
PEPtm,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
G6PP,1.0,0.0,0.0,0.0,0.0,0.0,12.500000000000002,0.0,0.0,0.0,0.0,0.0
NADH_to_ATP,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,2.0
pyr_to_ATP,0.07999999999999999,0.0,0.0,0.07999999999999999,0.07999999999999999,0.0,1.0,0.0,0.0,1.0,1.0,0.0
EX_glc__D_c,0.0,0.0,-0.5,0.0,0.0,-0.14285714285714285,0.0,0.0,-1.0,0.0,0.0,-1.0
EX_pyr_c,-0.07999999999999999,0.0,0.0,-0.07999999999999999,-0.07999999999999999,0.2857142857142857,-1.0,0.0,0.0,-1.0,-1.0,2.0
EX_h2o_c,-0.24,-0.5,0.0,-0.24,-0.24,0.2857142857142857,-3.0000000000000004,-1.0,0.0,-3.0000000000000004,-3.0000000000000004,2.0
EX_h_c,0.72,-0.5,1.0,0.72,0.72,0.2857142857142857,9.000000000000002,-1.0,2.0,9.000000000000002,9.000000000000002,2.0
EX_pi_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_lac__L_c,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
EX_amp_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_o2_c,0.0,0.0,0.0,0.0,0.0,-0.14285714285714285,0.0,0.0,0.0,0.0,0.0,-1.0
EX_atp_m,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
EX_hco3_m,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
EX_gtp_m,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
EX_co2_c,0.24,0.0,0.0,0.24,0.24,0.0,3.0000000000000004,0.0,0.0,3.0000000000000004,3.0000000000000004,0.0
EX_h_m,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
EX_pi_m,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
EX_adp_m,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
EX_gdp_m,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
EX_co2_m,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
